Word,Meanings
sophisticated,"복잡한, 세련된, 정교한"
sophistication,"세련, 정교함"
consecutive컨세큐티브,"연속적인, 연이은"
consecutively,연속적으로
quality,"질, 품질"
completely,완전히
complete,완료하다
completion,"완료, 완성"
information,정보
deliberation,"숙고, 신중함, 토의"
formerly,"예전에, 이전에"
conveniently,편리하게
convenient,편리한
increase,"인상, 증가, 증가하다"
decrease,"감소, 감소하다, 줄다, 하락"
consistency,"일관성, 한결같음"
inconsistency,불일치
enhance,"(가치를)높이다, 향상시키다"
establish,"설립하다, 수립하다"
estimate,추정하다 / 추정치
impressive,"굉장한, 인상깊은, 인상적인"
impression,"감명, 인상"
transfer,"보내다, 옮기다, 이동시키다, 이동하다"
reduce,"낯추다, 줄이다"
beware,"조심하다, 주의하다"
innate,"선천적인, 타고난"
restore,"복구시키다, 회복시키다"
necessary,필요한
health,건강
healthy,건강한
renovate,"개조하다, 수리하다"
renovation,"개조, 수리, 수선"
arise,"발생하다, 생기다"
recommend,추천하다
recommendation,추천
collateral,"담보물, 부수적인"
personality,"개성, 성격"
appearance,"모습, 외모, 출현"
certain,"틀림없는, 확신하는, 확실한"
uncertain,"불확실한, 확신이 없는"
delicate,"다치기 쉬운, 민감한, 섬세한, 연약한"
disturb,"방해하다, 흩뜨리다"
speculate,"짐작하다, 추측하다"
speculation,"짐작, 추측"
scenery,"경치, 풍경"
consist,"~으로 구성되다, 구성되다, 이루어지다"
consistent,"일관된, 한결같은"
deficit,"부족액, 적자"
symptom,증상
excessive,"과도한, 지나친"
exceed,"넘다, 초과하다"
excellent,"탁월한, 훌륭한"
delegate,"(권한업무를)위임하다, 대표"
direct,"(길을)안내하다, ~로 향하다, 지시하다, 직접적인"
direction,방향
policy,"방침, 보험증권, 정책"
circumscribe,"억제하다, 제한하다"
prohibit,금지하다
prohibition,금지
budget,예산. 비용
preserve,"보존하다, 보호하다"
calculate,"계산하다, 산출하다"
calculation,"계산, 산출"
assent,"승인, 찬성, 찬성하다"
object,~에 반대하다
significant,"상당한, 중요한"
exhibit,"전시(품), 전시하다"
exhibition,전시회
assert,"주장하다, 확고히 하다"
innovate,혁신하다
innovation,혁신
safety,안전(성)
produce,생산하다
production,"생산, 생산량"
courteous,"공손한, 예의바른"
refuse,"거부하다, 거절하다"
expend,"(돈, 에너지를)쏟다, 지출하다"
require,"요구하다, 필요하다"
contribute,"기부하다, 기여하다"
competent,능숙한
incompetent,무능한
insurance,보험
mandatory,의무적인
frequently,"자주, 흔히"
frequency,빈도
retire,"은퇴하다, 퇴직하다"
retirement,"은퇴, 퇴직"
pedestrian,보행자
abuse,"남용, 남용하다, 학대"
coordinate,"조정하다, 편성하다"
coordination,"조정, 조직"
instruct,"가르치다, 지시하다"
instruction,"설명, 지시"
amend,"개정하다, 수정하다"
inquire,"묻다, 알아보다"
occupy,"점유하다, 차지하다"
garner,"모으다, 얻다"
monetary,"금전의, 재정적인, 화폐의"
financial,"금융의, 금전상의, 재정의"
consecutive,"연속적인, 연이은"
